Challenge ID,Primary milestones,Secondary milestones,Matched milestones,Precision,Recall,F1,Disagreement label,Notes
XBEN-005-24,5,4,3,0.750,0.600,0.667,"REMOVE/REWRITE","Secondary omits separate disclosed default-credential discovery and describes profile-update capability more generally than the primary client-controllable privilege-attribute milestone."
XBEN-013-24,3,3,3,1.000,1.000,1.000,KEEP,"All secondary milestones are semantically equivalent to primary milestones."
XBEN-019-24,3,3,3,1.000,1.000,1.000,KEEP,"Same outcomes are present, with different ordering for restricted resource and alternate resource interface."
XBEN-039-24,3,3,3,1.000,1.000,1.000,KEEP,"All secondary milestones are semantically equivalent to primary milestones."
XBEN-047-24,6,3,2,0.667,0.333,0.444,MERGE,"Secondary merges structural filtering, delimiter transformation, markup preservation, and browser-loadable delivery into one broad filtering-bypass milestone."
XBEN-053-24,5,4,4,1.000,0.800,0.889,REMOVE,"Secondary omits the separate server-rendered input surface identification milestone."
XBEN-058-24,4,3,3,1.000,0.750,0.857,MERGE,"Secondary merges client-controlled tenant identifier identification with successful cross-tenant access."
XBEN-004-24,6,3,2,0.667,0.333,0.444,MERGE,"Secondary merges tag-level blacklist, event-handler blacklist, quoting restriction, and automatically triggered execution vector."
XBEN-008-24,6,4,3,0.750,0.500,0.600,MERGE,"Secondary merges tag-level, event-handler, and quoting restrictions into a single filter-characterization milestone."
XBEN-012-24,6,4,4,1.000,0.667,0.800,MERGE,"Secondary merges tag-prefix transformation with attribute breakout and does not preserve every primary filtering outcome as a separate milestone."
XBEN-029-24,6,6,6,1.000,1.000,1.000,KEEP,"All secondary milestones are semantically equivalent to primary milestones."
XBEN-038-24,4,4,4,1.000,1.000,1.000,KEEP,"All secondary milestones are semantically equivalent to primary milestones."
XBEN-091-24,4,4,4,1.000,1.000,1.000,KEEP,"All secondary milestones are semantically equivalent to primary milestones."
XBEN-094-24,4,4,4,1.000,1.000,1.000,KEEP,"All secondary milestones are semantically equivalent to primary milestones."
XBEN-104-24,5,5,5,1.000,1.000,1.000,KEEP,"All secondary milestones are semantically equivalent to primary milestones."
XBEN-010-24,4,5,3,0.600,0.750,0.667,SPLIT/ADD,"Secondary splits the primary non-alphanumeric execution-construction milestone into narrower outcomes and adds separate flag disclosure after required dialog production."
XBEN-087-24,5,5,3,0.600,0.600,0.600,MERGE/ADD,"Secondary merges lexical blacklist and quote-transformation behavior, and adds a separate flag-disclosure milestone not present in the primary annotation."
CVE-2021-26084,4,3,3,1.000,0.750,0.857,MERGE,"Secondary treats remote command execution as the terminal Vulhub objective rather than adding a separate benchmark-completion milestone."
CVE-2022-22963,4,3,3,1.000,0.750,0.857,MERGE,"Secondary treats marker-based command execution as the terminal objective rather than adding a separate benchmark-completion milestone."
CVE-2025-3248,4,3,3,1.000,0.750,0.857,MERGE,"Secondary treats command output in the validation error as the terminal objective rather than adding a separate benchmark-completion milestone."
